datetime;covid_cases;covid_hospital;covid_deaths
2020/10/23 00:00:00+00;25936;953;314
2020/10/24 00:00:00+00;26442;966;319
2020/10/25 00:00:00+00;27273;974;319
2020/10/26 00:00:00+00;27799;988;324
2020/10/27 00:00:00+00;28485;994;328
2020/10/28 00:00:00+00;28833;1000;337
2020/10/29 00:00:00+00;29331;1009;339
2020/10/30 00:00:00+00;29946;1019;340
2020/10/31 00:00:00+00;30511;1033;342
2020/11/01 00:00:00+00;31039;1049;343
2020/11/02 00:00:00+00;31365;1054;345
2020/11/03 00:00:00+00;31733;1060;349
2020/11/04 00:00:00+00;32098;1071;353
2020/11/05 00:00:00+00;32472;1076;353
2020/11/06 00:00:00+00;32779;1081;361
2020/11/07 00:00:00+00;33163;1082;361
2020/11/08 00:00:00+00;33501;1086;361
2020/11/09 00:00:00+00;33721;1086;367
2020/11/10 00:00:00+00;33976;1088;368
2020/11/11 00:00:00+00;34306;1089;369
2020/11/12 00:00:00+00;34703;1098;369
2020/11/13 00:00:00+00;35127;1105;381
2020/11/14 00:00:00+00;35435;1105;382
2020/11/15 00:00:00+00;35710;1113;390
2020/11/16 00:00:00+00;35995;1129;390
2020/11/17 00:00:00+00;36224;1135;393
2020/11/18 00:00:00+00;36471;1141;393
2020/11/19 00:00:00+00;36640;1146;396
2020/11/20 00:00:00+00;36975;1146;397
2020/11/21 00:00:00+00;37391;1151;403
2020/11/22 00:00:00+00;37720;1153;403
2020/11/23 00:00:00+00;37955;1156;403
2020/11/24 00:00:00+00;38153;1159;410
2020/11/25 00:00:00+00;38435;1165;412
2020/11/26 00:00:00+00;38657;1170;416
2020/11/27 00:00:00+00;38971;1175;417
2020/11/28 00:00:00+00;39213;1177;418
2020/11/29 00:00:00+00;39502;1184;419
2020/11/30 00:00:00+00;39756;1188;420
2020/12/01 00:00:00+00;40003;1190;420
2020/12/02 00:00:00+00;40303;1191;422
2020/12/03 00:00:00+00;40636;1194;424
2020/12/04 00:00:00+00;40861;1197;427
2020/12/05 00:00:00+00;41205;1203;428
2020/12/06 00:00:00+00;41555;1207;430
2020/12/07 00:00:00+00;41771;1213;430
2020/12/08 00:00:00+00;42089;1212;436
2020/12/09 00:00:00+00;42505;1215;443
2020/12/10 00:00:00+00;42918;1219;445
2020/12/11 00:00:00+00;43397;1220;447
2020/12/12 00:00:00+00;43788;1231;448
2020/12/13 00:00:00+00;44123;1234;449
2020/12/14 00:00:00+00;44473;1238;449
2020/12/15 00:00:00+00;44718;1241;451
2020/12/16 00:00:00+00;45276;1245;457
2020/12/17 00:00:00+00;45820;1250;461
2020/12/18 00:00:00+00;46185;1257;461
2020/12/19 00:00:00+00;46765;1261;466
2020/12/20 00:00:00+00;47359;1276;466
2020/12/21 00:00:00+00;47698;1281;467
2020/12/22 00:00:00+00;48135;1287;472
2020/12/23 00:00:00+00;48509;1295;475
2020/12/24 00:00:00+00;48951;1303;477
2020/12/25 00:00:00+00;49257;1309;481
2020/12/26 00:00:00+00;49572;1309;483
2020/12/27 00:00:00+00;50010;1315;485
2020/12/28 00:00:00+00;50266;1322;489
2020/12/29 00:00:00+00;50545;1326;491
2020/12/30 00:00:00+00;50925;1331;495
2020/12/31 00:00:00+00;51312;1349;507
2021/01/01 00:00:00+00;51534;1351;516
