"datetime","trend","stringency_index","inverse_stringency_index"
2020-09-01 00:00:00,121.569071446084,50.93,49.07
2020-09-01 00:15:00,121.572144610815,50.93,49.07
2020-09-01 00:30:00,121.575217775545,50.93,49.07
2020-09-01 00:45:00,121.578290940276,50.93,49.07
2020-09-01 01:00:00,121.581364105007,50.93,49.07
2020-09-01 01:15:00,121.584437269737,50.93,49.07
2020-09-01 01:30:00,121.587510434468,50.93,49.07
2020-09-01 01:45:00,121.590583599199,50.93,49.07
2020-09-01 02:00:00,121.593656763929,50.93,49.07
2020-09-01 02:15:00,121.59672992866,50.93,49.07
2020-09-01 02:30:00,121.599803093391,50.93,49.07
2020-09-01 02:45:00,121.602876258121,50.93,49.07
2020-09-01 03:00:00,121.605949422852,50.93,49.07
2020-09-01 03:15:00,121.609022587583,50.93,49.07
2020-09-01 03:30:00,121.612095752313,50.93,49.07
2020-09-01 03:45:00,121.615168917044,50.93,49.07
2020-09-01 04:00:00,121.618242081775,50.93,49.07
2020-09-01 04:15:00,121.621315246505,50.93,49.07
2020-09-01 04:30:00,121.624388411236,50.93,49.07
2020-09-01 04:45:00,121.627461575967,50.93,49.07
2020-09-01 05:00:00,121.630534740697,50.93,49.07
2020-09-01 05:15:00,121.633607905428,50.93,49.07
2020-09-01 05:30:00,121.636681070159,50.93,49.07
2020-09-01 05:45:00,121.639754234889,50.93,49.07
2020-09-01 06:00:00,121.64282739962,50.93,49.07
2020-09-01 06:15:00,121.645900564351,50.93,49.07
2020-09-01 06:30:00,121.648973729081,50.93,49.07
2020-09-01 06:45:00,121.652046893812,50.93,49.07
2020-09-01 07:00:00,121.655120058543,50.93,49.07
2020-09-01 07:15:00,121.658193223273,50.93,49.07
2020-09-01 07:30:00,121.661266388004,50.93,49.07
2020-09-01 07:45:00,121.664339552735,50.93,49.07
2020-09-01 08:00:00,121.667412717465,50.93,49.07
2020-09-01 08:15:00,121.670485882196,50.93,49.07
2020-09-01 08:30:00,121.673559046927,50.93,49.07
2020-09-01 08:45:00,121.676632211657,50.93,49.07
2020-09-01 09:00:00,121.679705376388,50.93,49.07
2020-09-01 09:15:00,121.682778541119,50.93,49.07
2020-09-01 09:30:00,121.685851705849,50.93,49.07
2020-09-01 09:45:00,121.68892487058,50.93,49.07
2020-09-01 10:00:00,121.691998035311,50.93,49.07
2020-09-01 10:15:00,121.695071200041,50.93,49.07
2020-09-01 10:30:00,121.698144364772,50.93,49.07
2020-09-01 10:45:00,121.701217529503,50.93,49.07
2020-09-01 11:00:00,121.704290694233,50.93,49.07
2020-09-01 11:15:00,121.707363858964,50.93,49.07
2020-09-01 11:30:00,121.710437023695,50.93,49.07
2020-09-01 11:45:00,121.713510188425,50.93,49.07
2020-09-01 12:00:00,121.716583353156,50.93,49.07
