"datetime","trend","stringency_index","inverse_stringency_index"
2020-09-02 00:45:00,123.83444598476,50.93,49.07
2020-09-02 01:00:00,123.892371687713,50.93,49.07
2020-09-02 01:15:00,123.950297390666,50.93,49.07
2020-09-02 01:30:00,124.008223093618,50.93,49.07
2020-09-02 01:45:00,124.066148796571,50.93,49.07
2020-09-02 02:00:00,124.124074499523,50.93,49.07
2020-09-02 02:15:00,124.182000202476,50.93,49.07
2020-09-02 02:30:00,124.239925905429,50.93,49.07
2020-09-02 02:45:00,124.297851608381,50.93,49.07
2020-09-02 03:00:00,124.355777311334,50.93,49.07
2020-09-02 03:15:00,124.413703014286,50.93,49.07
2020-09-02 03:30:00,124.471628717239,50.93,49.07
2020-09-02 03:45:00,124.523297724569,50.93,49.07
2020-09-02 04:00:00,124.574966731898,50.93,49.07
2020-09-02 04:15:00,124.626635739228,50.93,49.07
2020-09-02 04:30:00,124.678304746557,50.93,49.07
2020-09-02 04:45:00,124.729973753887,50.93,49.07
2020-09-02 05:00:00,124.781642761217,50.93,49.07
2020-09-02 05:15:00,124.833311768546,50.93,49.07
2020-09-02 05:30:00,124.884980775876,50.93,49.07
2020-09-02 05:45:00,124.936649783205,50.93,49.07
2020-09-02 06:00:00,124.988318790535,50.93,49.07
2020-09-02 06:15:00,125.039987797865,50.93,49.07
2020-09-02 06:30:00,125.091656805194,50.93,49.07
2020-09-02 06:45:00,125.143325812524,50.93,49.07
2020-09-02 07:00:00,125.194994819853,50.93,49.07
2020-09-02 07:15:00,125.246663827183,50.93,49.07
2020-09-02 07:30:00,125.298332834513,50.93,49.07
2020-09-02 07:45:00,125.350001841842,50.93,49.07
2020-09-02 08:00:00,125.401670849172,50.93,49.07
2020-09-02 08:15:00,125.453339856501,50.93,49.07
2020-09-02 08:30:00,125.505008863831,50.93,49.07
2020-09-02 08:45:00,125.556677871161,50.93,49.07
2020-09-02 09:00:00,125.60834687849,50.93,49.07
2020-09-02 09:15:00,125.66001588582,50.93,49.07
2020-09-02 09:30:00,125.711684893149,50.93,49.07
2020-09-02 09:45:00,125.763353900479,50.93,49.07
2020-09-02 10:00:00,125.815022907809,50.93,49.07
2020-09-02 10:15:00,125.866691915138,50.93,49.07
2020-09-02 10:30:00,125.918360922468,50.93,49.07
2020-09-02 10:45:00,125.970029929797,50.93,49.07
2020-09-02 11:00:00,126.021698937127,50.93,49.07
2020-09-02 11:15:00,126.073367944457,50.93,49.07
2020-09-02 11:30:00,126.125036951786,50.93,49.07
2020-09-02 11:45:00,126.176705959116,50.93,49.07
2020-09-02 12:00:00,126.228374966445,50.93,49.07
2020-09-02 12:15:00,126.280043973775,50.93,49.07
2020-09-02 12:30:00,126.331712981105,50.93,49.07
2020-09-02 12:45:00,126.383381988434,50.93,49.07
2020-09-02 13:00:00,126.435050995764,50.93,49.07
2020-09-02 13:15:00,126.486720003093,50.93,49.07
2020-09-02 13:30:00,126.538389010423,50.93,49.07
2020-09-02 13:45:00,126.590058017753,50.93,49.07
2020-09-02 14:00:00,126.641727025082,50.93,49.07
2020-09-02 14:15:00,126.693396032412,50.93,49.07
2020-09-02 14:30:00,126.745065039741,50.93,49.07
2020-09-02 14:45:00,126.796734047071,50.93,49.07
2020-09-02 15:00:00,126.8484030544,50.93,49.07
2020-09-02 15:15:00,126.90007206173,50.93,49.07
2020-09-02 15:30:00,126.95174106906,50.93,49.07
2020-09-02 15:45:00,127.003410076389,50.93,49.07
2020-09-02 16:00:00,127.055079083719,50.93,49.07
2020-09-02 16:15:00,127.106748091048,50.93,49.07
