gid;geom;objectnummer;soort;voeding;rotatie;actief;privacyverklaring;location_name;width;gebiedstype;gebied;crowd_threshold_low;crowd_threshold_high;
108;0101000020E610000031276893C3971340DB1324B6BB2F4A40;CMSA-GAWW-15;2D sensor;;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudezijds Achterburgwal t.h.v. 86;;Wallen;Red_light;882;1134;"52.372916; 4.898207"
109;0101000020E6100000AD872F1345981340033FAA61BF2F4A40;CMSA-GAWW-16;2D sensor;;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudezijds Achterburgwal t.h.v. 91;;Wallen;Red_light;851;1094;"52.373028; 4.898701"
110;0101000020E6100000E4F6CB272B961340CC441152B72F4A40;CMSA-GAWW-17;2D sensor;;40;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudezijds Voorburgwal t.h.v. 206;;Wallen;Red_light;1481;1904;"52.372782; 4.896649"
111;0101000020E610000029965B5A0D991340B1868BDCD32F4A40;CMSA-GAWW-19;2D sensor;;115;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Molensteeg;;Wallen;Red_light;788;1013;"52.373653; 4.899465"
112;0101000020E61000009E4143FF04971340DC4603780B304A40;CMSA-GAWW-20;2D sensor;;120;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudebrugsteeg;;Wallen;Red_light;1670;2147;"52.37535; 4.89748"
113;0101000020E6100000BE30992A189513405D33F9669B2F4A40;CMSA-GAWW-21;2D sensor;;120;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Damstraat;;Wallen;Red_light;2930;3767;"52.37193; 4.8956"
114;0101000020E61000002A5778978B9813408811C2A38D2F4A40;CMSA-GAWW-22;2D sensor;;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Kloveniersburgwal;;Wallen;Red_light;1355;1742;"52.37151; 4.89897"
115;0101000020E610000034F8FBC56C991340259012BBB62F4A40;CMSA-GAWW-23;2D sensor;;109;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Bloedstraat;;Wallen;Red_light;1670;2147;"52.372764; 4.899829"
116;0101000020E61000009BC937DBDC98134040FB912232304A40;CMSA-GAWW-24;2D sensor;;138;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Nieuwebrugsteeg;;Wallen;Red_light;1355;1742;"52.37653; 4.89928"
119;0101000020E6100000990E9D9E77C31340228B34F10E284A40;CMSA-GAABM-02;2D sensor;;290;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CTO Boulevard 2;13;Events;Arena;150;200;
120;0101000020E61000001D8EAED2DDC5134062F5471806284A40;CMSA-GAABM-03;2D sensor;;280;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CTO Boulevard 3;13;Events;Arena;180;230;
121;0101000020E6100000B090B932A8C613408733BF9A03284A40;CMSA-GAABM-04;2D sensor;;110;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CTO Boulevard 4;13;Events;Arena;90;130;
122;0101000020E610000090BE49D3A0C81340B39602D2FE274A40;CMSA-GAABM-05;2D sensor;;120;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CTO Boulevard 5;13;Events;Arena;140;200;
