Datetime,CMSA-GAWW-22 Kloveniersburgwal
2021-06-10 04:45:00,12
2021-06-10 05:00:00,17
2021-06-10 05:15:00,16
2021-06-10 05:30:00,15
2021-06-10 05:45:00,15
2021-06-10 06:00:00,16
2021-06-10 06:15:00,18
2021-06-10 06:30:00,22
2021-06-10 06:45:00,15
2021-06-10 07:00:00,16
2021-06-10 07:15:00,17
2021-06-10 07:30:00,18
2021-06-10 07:45:00,43
2021-06-10 08:00:00,44
2021-06-10 08:15:00,75
2021-06-10 08:30:00,94
2021-06-10 08:45:00,97
2021-06-10 09:00:00,66
2021-06-10 09:15:00,85
2021-06-10 09:30:00,109
2021-06-10 09:45:00,114
2021-06-10 10:00:00,98
2021-06-10 10:15:00,163
2021-06-10 10:30:00,99
2021-06-10 10:45:00,134
2021-06-10 11:00:00,118
2021-06-10 11:15:00,93
2021-06-10 11:30:00,120
2021-06-10 11:45:00,120
2021-06-10 12:00:00,118
2021-06-10 12:15:00,107
2021-06-10 12:30:00,150
2021-06-10 12:45:00,221
2021-06-10 13:00:00,169
2021-06-10 13:15:00,169
2021-06-10 13:30:00,167
2021-06-10 13:45:00,167
2021-06-10 14:00:00,196
2021-06-10 14:15:00,176
2021-06-10 14:30:00,182
2021-06-10 14:45:00,271
2021-06-10 15:00:00,210
2021-06-10 15:15:00,227
2021-06-10 15:30:00,184
2021-06-10 15:45:00,220
2021-06-10 16:00:00,259
2021-06-10 16:15:00,245
2021-06-10 16:30:00,175
2021-06-10 16:45:00,219
2021-06-10 17:00:00,291
2021-06-10 17:15:00,255
2021-06-10 17:30:00,303
2021-06-10 17:45:00,276
2021-06-10 18:00:00,303
2021-06-10 18:15:00,267
2021-06-10 18:30:00,260
2021-06-10 18:45:00,253
2021-06-10 19:00:00,287
2021-06-10 19:15:00,189
2021-06-10 19:30:00,200
2021-06-10 19:45:00,224
2021-06-10 20:00:00,203
2021-06-10 20:15:00,188
2021-06-10 20:30:00,179
2021-06-10 20:45:00,211
2021-06-10 21:00:00,147
2021-06-10 21:15:00,165
2021-06-10 21:30:00,152
2021-06-10 21:45:00,148
2021-06-10 22:00:00,162
2021-06-10 22:15:00,149
2021-06-10 22:30:00,125
2021-06-10 22:45:00,88
2021-06-10 23:00:00,151
2021-06-10 23:15:00,100
2021-06-10 23:30:00,90
2021-06-10 23:45:00,77
2021-07-10 00:00:00,90
2021-07-10 00:15:00,70
2021-07-10 00:30:00,58
2021-07-10 00:45:00,40
2021-07-10 01:00:00,38
2021-07-10 01:15:00,27
2021-07-10 01:30:00,18
2021-07-10 01:45:00,30
2021-07-10 02:00:00,22
2021-07-10 02:15:00,19
2021-07-10 02:30:00,23
2021-07-10 02:45:00,23
2021-07-10 03:00:00,19
2021-07-10 03:15:00,17
2021-07-10 03:30:00,18
2021-07-10 03:45:00,17
2021-07-10 04:00:00,21
2021-07-10 04:15:00,12
2021-07-10 04:30:00,16
2021-07-10 04:45:00,17
2021-07-10 05:00:00,15
2021-07-10 05:15:00,20
2021-07-10 05:30:00,12
2021-07-10 05:45:00,17
2021-07-10 06:00:00,21
2021-07-10 06:15:00,19
2021-07-10 06:30:00,29
2021-07-10 06:45:00,28
2021-07-10 07:00:00,22
2021-07-10 07:15:00,19
