datetime,prediction
2021-12-10 02:45:00,26.589813
2021-12-10 03:00:00,26.461792
2021-12-10 03:15:00,26.307274
2021-12-10 03:30:00,26.124023
2021-12-10 03:45:00,25.91822
2021-12-10 04:00:00,25.835228
2021-12-10 04:15:00,25.675537
2021-12-10 04:30:00,25.480652
2021-12-10 04:45:00,25.376663
2021-12-10 05:00:00,25.28164
2021-12-10 05:15:00,25.148972
2021-12-10 05:30:00,25.835907
2021-12-10 05:45:00,25.707481
2021-12-10 06:00:00,25.728851
2021-12-10 06:15:00,25.742607
2021-12-10 06:30:00,27.152931
2021-12-10 06:45:00,27.222794
2021-12-10 07:00:00,27.427917
2021-12-10 07:15:00,27.63942
2021-12-10 07:30:00,29.261772
2021-12-10 07:45:00,29.95256
2021-12-10 08:00:00,32.43817
2021-12-10 08:15:00,42.605957
2021-12-10 08:30:00,52.483856
2021-12-10 08:45:00,57.693993
2021-12-10 09:00:00,66.04322
2021-12-10 09:15:00,70.65276
2021-12-10 09:30:00,70.47513
2021-12-10 09:45:00,78.155174
2021-12-10 10:00:00,78.08941
2021-12-10 10:15:00,83.76872
2021-12-10 10:30:00,87.99671
2021-12-10 10:45:00,92.380516
2021-12-10 11:00:00,98.1151
2021-12-10 11:15:00,103.610985
2021-12-10 11:30:00,118.60521
2021-12-10 11:45:00,126.233765
2021-12-10 12:00:00,130.79135
2021-12-10 12:15:00,138.54056
2021-12-10 12:30:00,153.45895
2021-12-10 12:45:00,166.37444
2021-12-10 13:00:00,174.55093
2021-12-10 13:15:00,178.13275
2021-12-10 13:30:00,184.31116
2021-12-10 13:45:00,190.23615
2021-12-10 14:00:00,200.07162
2021-12-10 14:15:00,205.97125
2021-12-10 14:30:00,241.26605
2021-12-10 14:45:00,269.077
2021-12-10 15:00:00,272.60736
2021-12-10 15:15:00,270.2237
2021-12-10 15:30:00,275.29163
2021-12-10 15:45:00,280.64966
2021-12-10 16:00:00,283.01154
2021-12-10 16:15:00,287.7787
2021-12-10 16:30:00,303.81995
2021-12-10 16:45:00,324.69968
2021-12-10 17:00:00,331.01694
2021-12-10 17:15:00,312.70215
2021-12-10 17:30:00,255.95514
2021-12-10 17:45:00,228.93777
2021-12-10 18:00:00,219.84381
2021-12-10 18:15:00,236.28027
2021-12-10 18:30:00,207.23906
2021-12-10 18:45:00,193.26367
2021-12-10 19:00:00,183.27747
2021-12-10 19:15:00,166.22197
2021-12-10 19:30:00,141.76633
2021-12-10 19:45:00,125.864235
2021-12-10 20:00:00,119.35873
2021-12-10 20:15:00,104.913994
2021-12-10 20:30:00,95.21183
