datetime,prediction
2021-12-10 02:30:00,11.262924
2021-12-10 02:45:00,9.521774
2021-12-10 03:00:00,7.158394
2021-12-10 03:15:00,4.7950974
2021-12-10 03:30:00,2.5322342
2021-12-10 03:45:00,0.497612
2021-12-10 04:00:00,-1.2561646
2021-12-10 04:15:00,-2.5977173
2021-12-10 04:30:00,-3.6351547
2021-12-10 04:45:00,-4.390007
2021-12-10 05:00:00,-4.9228745
2021-12-10 05:15:00,-5.274231
2021-12-10 05:30:00,-5.482292
2021-12-10 05:45:00,-5.574112
2021-12-10 06:00:00,-5.519829
2021-12-10 06:15:00,-5.3633423
2021-12-10 06:30:00,-5.0258255
2021-12-10 06:45:00,-4.4311447
2021-12-10 07:00:00,-3.244934
2021-12-10 07:15:00,-1.441925
2021-12-10 07:30:00,1.5982742
2021-12-10 07:45:00,5.4152374
2021-12-10 08:00:00,9.02829
2021-12-10 08:15:00,10.821709
2021-12-10 08:30:00,11.7017975
2021-12-10 08:45:00,12.016556
2021-12-10 09:00:00,12.105873
2021-12-10 09:15:00,12.13855
2021-12-10 09:30:00,12.175514
2021-12-10 09:45:00,12.200645
2021-12-10 10:00:00,12.246819
2021-12-10 10:15:00,15.183441
2021-12-10 10:30:00,34.888878
2021-12-10 10:45:00,44.93158
2021-12-10 11:00:00,48.333763
2021-12-10 11:15:00,71.71776
2021-12-10 11:30:00,91.73184
2021-12-10 11:45:00,106.830795
2021-12-10 12:00:00,106.05952
2021-12-10 12:15:00,106.96036
2021-12-10 12:30:00,121.77273
2021-12-10 12:45:00,123.80053
2021-12-10 13:00:00,117.99676
2021-12-10 13:15:00,131.33557
2021-12-10 13:30:00,171.0585
2021-12-10 13:45:00,174.1085
2021-12-10 14:00:00,187.07742
2021-12-10 14:15:00,204.83441
2021-12-10 14:30:00,209.88904
2021-12-10 14:45:00,219.73041
2021-12-10 15:00:00,221.76315
2021-12-10 15:15:00,219.37228
2021-12-10 15:30:00,265.26926
2021-12-10 15:45:00,286.78125
2021-12-10 16:00:00,382.4995
2021-12-10 16:15:00,382.84473
2021-12-10 16:30:00,379.0377
2021-12-10 16:45:00,320.03946
2021-12-10 17:00:00,191.38731
2021-12-10 17:15:00,165.84335
2021-12-10 17:30:00,144.73125
2021-12-10 17:45:00,97.73384
2021-12-10 18:00:00,95.8041
2021-12-10 18:15:00,58.74354
2021-12-10 18:30:00,50.91558
2021-12-10 18:45:00,42.7864
2021-12-10 19:00:00,37.41999
2021-12-10 19:15:00,34.250862
2021-12-10 19:30:00,33.32093
2021-12-10 19:45:00,31.70337
2021-12-10 20:00:00,24.360413
2021-12-10 20:15:00,14.00502
2021-12-10 20:30:00,10.1156845
2021-12-10 20:45:00,11.498932
2021-12-10 21:00:00,12.8747635
2021-12-10 21:15:00,13.881592
2021-12-10 21:30:00,14.801819
2021-12-10 21:45:00,15.11039
