 STN,YYYYMMDD,H,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
  240,20200831,    1,  350,   40,   40,   80,  148,     ,   92,    0,    0,    0,    0,10174,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    2,  350,   40,   40,   70,  145,     ,   87,    0,    0,    0,    0,10177,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    3,  360,   30,   30,   50,  138,     ,   81,    0,    0,    0,    0,10179,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    4,   10,   20,   10,   40,  127,     ,   73,    0,    0,    0,    0,10181,   80,    7,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    5,  360,   10,   10,   20,  113,     ,   82,    0,    0,    0,    0,10184,   75,    8,   80,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    6,  310,   20,   20,   20,  120,   68,   90,    0,   12,    0,    0,10187,   70,    7,   81,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    7,  360,   20,   40,   50,  158,     ,  101,    3,   56,    0,    0,10191,   80,    4,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    8,  350,   50,   60,   90,  153,     ,   98,    5,  102,    0,    0,10196,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    9,  360,   60,   50,  100,  165,     ,   92,    9,  152,    0,    0,10200,   83,    8,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   10,  340,   50,   60,   80,  166,     ,   95,    0,  125,    0,    0,10201,   82,    8,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   11,  360,   50,   50,   90,  184,     ,   77,    5,  193,    0,    0,10201,   82,    8,   49,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   12,   30,   50,   50,   80,  173,  104,   86,    7,  241,    0,    0,10204,   81,    8,   56,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   13,   50,   40,   30,   80,  174,     ,   88,    0,  121,    0,    0,10205,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   14,   10,   40,   30,   80,  168,     ,   82,    0,   46,    0,    0,10204,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   15,   20,   30,   20,   60,  172,     ,   87,    0,   81,    0,    0,10203,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   16,  350,   30,   30,   50,  174,     ,   76,    7,  101,    0,    0,10202,   83,    8,   52,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   17,  350,   30,   30,   50,  176,     ,   81,    5,   74,    0,    0,10201,   83,    7,   53,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   18,  320,   40,   30,   60,  146,  133,   75,    8,   44,    0,    0,10205,   83,    4,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   19,  330,   30,   20,   40,  140,     ,   96,    0,    1,    0,    0,10208,   61,    8,   74,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   20,   10,   20,   20,   40,  145,     ,   92,    0,    0,    0,    0,10206,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   21,  360,   20,   10,   30,  132,     ,   91,    0,    0,    0,    0,10209,   75,    1,   76,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   22,    0,   10,    0,   10,  117,     ,   95,    0,    0,    0,    0,10209,   70,    1,   86,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   23,  300,    0,   10,   10,  111,     ,   93,    0,    0,    0,    0,10209,   70,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   24,    0,   10,    0,   30,  127,   60,  102,    0,    0,    0,    0,10208,   70,    8,   84,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    1,  310,   20,   30,   40,  130,     ,  106,    0,    0,    0,    0,10209,   70,    8,   85,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    2,  300,   40,   30,   50,  129,     ,   93,    0,    0,    0,    0,10207,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    3,  320,   20,   10,   40,  126,     ,   94,    0,    0,    0,    0,10205,   75,    8,   80,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    4,   40,   10,   10,   20,  119,     ,  101,    0,    0,    0,    0,10203,   70,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    5,  110,   10,   10,   20,  123,     ,  102,    0,    0,    0,    0,10201,   70,    8,   86,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    6,  340,   10,   10,   20,  131,   89,  107,    7,   18,    0,    0,10204,   70,    0,   85,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    7,   40,   10,   10,   30,  164,     ,   93,   10,   68,    0,    0,10209,   83,    2,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    8,  360,   10,   20,   50,  170,     ,   91,   10,  124,    0,    0,10207,   82,    1,   59,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    9,  360,   20,   30,   50,  169,     ,   79,    8,  160,    0,    0,10206,   81,    8,   55,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   10,  360,   20,   30,   50,  161,     ,   91,    0,   60,    0,    0,10205,   83,    8,   63,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   11,  350,   40,   30,   50,  159,     ,   99,    0,   31,    0,    0,10204,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   12,   50,   20,   20,   40,  155,   97,  105,    0,   44,    0,    0,10203,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   13,  100,   30,   20,   50,  157,     ,  106,    0,   38,    0,    0,10203,   75,    8,   71,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   14,  350,   10,   20,   30,  165,     ,  100,    0,   46,    0,    0,10200,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   15,  330,   30,   10,   60,  162,     ,  104,    0,   68,    0,    0,10197,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   16,  340,   20,   20,   40,  166,     ,  102,    2,   70,    0,    0,10194,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   17,  340,   20,   30,   40,  158,     ,   98,    3,   49,    0,    0,10192,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   18,  340,   20,   20,   40,  141,  118,  100,    5,   18,    0,    0,10193,   75,    1,   76,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   19,  360,   10,   10,   50,  137,     ,  102,    0,    1,    0,    0,10195,   75,    0,   79,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   20,  330,   10,   10,   60,  125,     ,  100,    0,    0,    0,    0,10197,   70,    0,   84,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   21,  340,   10,   10,   20,  107,     ,   99,    0,    0,    0,    0,10197,   65,    0,   95,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   22,    0,   10,    0,   20,  105,     ,  100,    0,    0,    0,    0,10197,   65,    0,   96,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   23,  320,   10,   20,   30,   99,     ,   93,    0,    0,    0,    0,10197,   64,    0,   96,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   24,    0,   10,    0,   30,   94,   49,   91,    0,    0,    0,    0,10196,   19,    2,   98,   10,    7,    0,    0,    0,    0,    0
  240,20200902,    1,  300,   10,   10,   10,   95,     ,   92,    0,    0,    0,    0,10194,    6,    0,   98,   34,    7,    1,    0,    0,    0,    0
  240,20200902,    2,  990,   10,   10,   20,   93,     ,   90,    0,    0,    0,    0,10191,    7,    0,   98,   32,    7,    1,    0,    0,    0,    0
  240,20200902,    3,  300,   10,   20,   20,   94,     ,   91,    0,    0,    0,    0,10189,   57,    0,   97,   20,    7,    1,    0,    0,    0,    0
  240,20200902,    4,  290,   10,   10,   20,   90,     ,   85,    0,    0,    0,    0,10188,   10,    0,   96,   10,    7,    0,    0,    0,    0,    0
  240,20200902,    5,  300,   10,   20,   20,   91,     ,   86,    0,    0,    0,    0,10188,   65,    0,   97,     ,    5,    0,    0,    0,    0,    0
  240,20200902,    6,    0,   10,    0,   20,  101,   40,   95,    7,   17,    0,    0,10191,   65,    0,   96,    2,    7,    0,    0,    0,    0,    0
  240,20200902,    7,  350,   10,   10,   20,  137,     ,  100,   10,   65,    0,    0,10194,   67,    0,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200902,    8,  990,   10,   10,   30,  173,     ,  100,   10,  116,    0,    0,10196,   80,    0,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200902,    9,  990,   10,   10,   40,  183,     ,  100,   10,  167,    0,    0,10198,   81,    0,   58,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   10,  990,   20,   10,   70,  198,     ,   98,   10,  212,    0,    0,10194,   82,    0,   52,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   11,  990,   10,   10,   30,  197,     ,  102,    7,  175,    0,    0,10192,   83,    3,   54,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   12,  990,   10,   10,   20,  204,   62,   97,    7,  205,    0,    0,10188,   81,    1,   50,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   13,  130,   20,   20,   40,  197,     ,  102,    6,  190,    0,    0,10187,   83,    8,   54,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   14,  270,   20,   40,   60,  192,     ,  115,    3,  121,    0,    0,10185,   82,    8,   60,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   15,  260,   40,   40,   60,  205,     ,  116,    3,  122,    0,    0,10185,   81,    8,   56,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   16,  290,   50,   50,   90,  187,     ,  111,   10,  142,    0,    0,10187,   83,    0,   61,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   17,  310,   40,   40,   60,  182,     ,  111,   10,   83,    0,    0,10189,   83,    0,   63,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   18,  290,   30,   20,   60,  157,  142,  106,    7,   28,    0,    0,10190,   75,    6,   71,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   19,  270,   20,   20,   40,  150,     ,  104,    0,    1,    0,    0,10193,   75,    8,   74,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   20,  140,   10,   10,   20,  142,     ,  108,    0,    0,    0,    0,10196,   75,    7,   80,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   21,  150,   10,   10,   20,  126,     ,  104,    0,    0,    0,    0,10192,   70,    8,   86,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   22,  190,   20,   20,   30,  121,     ,   99,    0,    0,    0,    0,10190,   70,    8,   86,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   23,  170,   20,   20,   30,  124,     ,  103,    0,    0,    0,    0,10189,   70,    8,   87,     ,    5,    0,    0,    0,    0,    0
  240,20200902,   24,  170,   20,   30,   40,  129,   66,  112,    0,    0,    0,    0,10184,   64,    8,   89,     ,    5,    0,    0,    0,    0,    0
  240,20200903,    1,  170,   30,   30,   40,  132,     ,  113,    0,    0,    0,    0,10181,   63,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20200903,    2,  190,   30,   40,   50,  141,     ,  111,    0,    0,    0,    0,10177,   70,    8,   81,     ,    5,    0,    0,    0,    0,    0
  240,20200903,    3,  210,   50,   50,   80,  148,     ,  111,    0,    0,    0,    0,10171,   69,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200903,    4,  180,   50,   40,   70,  146,     ,  116,    0,    0,    0,    0,10164,   63,    8,   82,     ,    5,    0,    0,    0,    0,    0
  240,20200903,    5,  170,   40,   40,   60,  139,     ,  120,    0,    0,    7,    7,10166,   57,    8,   88,   81,    7,    0,    1,    0,    0,    0
  240,20200903,    6,  180,   50,   50,   80,  138,  113,  123,    0,    2,    7,    8,10166,   56,    8,   90,   62,    7,    0,    1,    0,    0,    0
  240,20200903,    7,  180,   50,   60,   90,  135,     ,  123,    0,    7,   10,   30,10164,   50,    8,   92,   63,    7,    0,    1,    0,    0,    0
  240,20200903,    8,  170,   60,   60,   90,  133,     ,  122,    0,   12,   10,   16,10161,   58,    8,   92,   58,    7,    0,    1,    0,    0,    0
  240,20200903,    9,  180,   70,   60,  100,  137,     ,  127,    0,   17,    4,    3,10159,   57,    8,   93,   81,    7,    0,    1,    0,    0,    0
  240,20200903,   10,  180,   60,   70,   90,  145,     ,  135,    0,   21,    9,   14,10158,   56,    8,   93,   62,    7,    0,    1,    0,    0,    0
  240,20200903,   11,  190,   70,   70,   90,  157,     ,  145,    0,   35,   10,    8,10154,   60,    8,   92,   61,    7,    0,    1,    0,    0,    0
  240,20200903,   12,  200,   70,   70,  100,  172,  132,  150,    0,   75,    0,   -1,10151,   68,    8,   86,   23,    7,    0,    1,    0,    0,    0
  240,20200903,   13,  230,   70,   80,  100,  189,     ,  164,    0,   45,    0,    0,10149,   68,    8,   85,     ,    5,    0,    0,    0,    0,    0
  240,20200903,   14,  230,   90,   90,  130,  193,     ,  172,    0,   33,    0,    0,10147,   66,    8,   87,     ,    5,    0,    0,    0,    0,    0
  240,20200903,   15,  230,   80,   90,  120,  191,     ,  177,    0,   29,    7,    6,10149,   47,    8,   91,   58,    7,    0,    1,    0,    0,    0
  240,20200903,   16,  230,   80,   80,  120,  187,     ,  177,    0,   24,    9,   11,10151,   47,    8,   94,   23,    7,    0,    1,    0,    0,    0
  240,20200903,   17,  230,   80,   80,  110,  188,     ,  176,    0,   15,   10,   13,10152,   50,    8,   92,   52,    7,    0,    1,    0,    0,    0
  240,20200903,   18,  230,   80,   80,  130,  184,  177,  176,    0,    3,   10,   19,10154,   34,    8,   94,   58,    7,    0,    1,    0,    0,    0
  240,20200903,   19,  230,   80,   80,  110,  185,     ,  175,    0,    0,   10,    9,10158,   35,    8,   94,   53,    7,    0,    1,    0,    0,    0
  240,20200903,   20,  230,   80,   90,  120,  184,     ,  176,    0,    0,   10,    7,10164,   33,    8,   94,   53,    7,    0,    1,    0,    0,    0
  240,20200903,   21,  250,   70,   80,  110,  184,     ,  175,    0,    0,   10,   22,10166,   35,    8,   94,   53,    7,    0,    1,    0,    0,    0
  240,20200903,   22,  260,   80,   80,  120,  180,     ,  172,    0,    0,   10,   11,10171,   29,    8,   94,   53,    7,    0,    1,    0,    0,    0
  240,20200903,   23,  250,   50,   30,  120,  168,     ,  162,    0,    0,   10,   18,10172,   62,    8,   95,   51,    7,    0,    1,    0,    0,    0
  240,20200903,   24,  220,   30,   40,   50,  170,  163,  160,    0,    0,    0,   -1,10176,   65,    8,   94,   81,    7,    0,    1,    0,    0,    0
  240,20200904,    1,  220,   40,   40,   50,  174,     ,  166,    0,    0,    0,   -1,10174,   65,    8,   95,   23,    7,    0,    1,    0,    0,    0
  240,20200904,    2,  220,   30,   30,   50,  173,     ,  168,    0,    0,    0,    0,10178,   61,    8,   96,     ,    5,    0,    0,    0,    0,    0
  240,20200904,    3,  210,   30,   30,   40,  175,     ,  170,    0,    0,    0,    0,10178,   63,    8,   96,    2,    7,    0,    0,    0,    0,    0
  240,20200904,    4,  240,   30,   30,   40,  173,     ,  158,    0,    0,    0,    0,10180,   65,    8,   91,     ,    5,    0,    0,    0,    0,    0
  240,20200904,    5,  220,   30,   40,   50,  164,     ,  153,    0,    0,    0,    0,10182,   65,    8,   93,     ,    5,    0,    0,    0,    0,    0
  240,20200904,    6,  220,   30,   30,   50,  169,  154,  156,    0,    8,    0,    0,10188,   65,    8,   92,    2,    7,    0,    0,    0,    0,    0
  240,20200904,    7,  260,   30,   30,   50,  180,     ,  148,    3,   50,    0,    0,10191,   70,    8,   81,     ,    5,    0,    0,    0,    0,    0
  240,20200904,    8,  270,   40,   40,   60,  179,     ,  142,    0,   57,    0,    0,10197,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200904,    9,  270,   40,   50,   60,  189,     ,  144,    1,   92,    0,    0,10200,   75,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   10,  270,   50,   60,   80,  186,     ,  134,    4,  107,    0,    0,10202,   75,    8,   71,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   11,  260,   60,   60,  100,  200,     ,  140,    4,  173,    0,    0,10203,   80,    5,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   12,  260,   60,   50,   90,  189,  162,  128,    4,  153,    0,    0,10199,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   13,  250,   60,   70,  100,  198,     ,  132,    2,  131,    0,    0,10201,   74,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   14,  250,   80,   70,  110,  187,     ,  120,    3,  136,    0,    0,10201,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   15,  250,   80,   70,  120,  181,     ,  120,    2,   94,    0,    0,10200,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   16,  260,   70,   80,  110,  177,     ,  121,    0,   64,    0,    0,10198,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   17,  260,   70,   60,  110,  172,     ,  114,    0,   31,    0,    0,10195,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   18,  260,   50,   50,   90,  168,  156,  110,    0,    9,    0,    0,10194,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   19,  240,   40,   40,   70,  165,     ,  112,    0,    0,    0,    0,10194,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   20,  200,   40,   30,   60,  155,     ,  118,    0,    0,    0,    0,10191,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   21,  200,   40,   40,   60,  156,     ,  119,    0,    0,    0,    0,10185,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   22,  210,   40,   50,   60,  161,     ,  122,    0,    0,    0,    0,10180,   75,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   23,  250,   40,   30,   50,  161,     ,  120,    0,    0,    0,    0,10178,   75,    8,   76,     ,    5,    0,    0,    0,    0,    0
  240,20200904,   24,  280,   30,   30,   50,  157,  143,  122,    0,    0,    0,   -1,10178,   73,    8,   79,   81,    7,    0,    1,    0,    0,    0
  240,20200905,    1,  290,   20,   30,   50,  149,     ,  116,    0,    0,    0,   -1,10173,   75,    8,   80,   51,    7,    0,    1,    0,    0,    0
  240,20200905,    2,  280,   30,   30,   50,  140,     ,  123,    0,    0,   10,   17,10174,   60,    8,   89,   82,    7,    0,    1,    0,    0,    0
  240,20200905,    3,  300,   30,   30,   50,  137,     ,  124,    0,    0,   10,   44,10174,   57,    8,   91,   63,    7,    0,    1,    0,    0,    0
  240,20200905,    4,  220,   30,   30,   50,  133,     ,  118,    0,    0,    9,   16,10170,   70,    8,   90,   61,    7,    0,    1,    0,    0,    0
  240,20200905,    5,  220,   40,   50,   60,  132,     ,  117,    0,    0,    0,   -1,10167,   70,    7,   90,   23,    7,    0,    1,    0,    0,    0
  240,20200905,    6,  220,   40,   40,   60,  134,  119,  120,    2,   11,    0,    0,10170,   68,    1,   90,    1,    7,    0,    0,    0,    0,    0
  240,20200905,    7,  260,   40,   40,   50,  157,     ,  117,   10,   61,    0,    0,10173,   74,    1,   76,     ,    5,    0,    0,    0,    0,    0
  240,20200905,    8,  270,   50,   60,   90,  168,     ,  115,   10,  119,    0,    0,10173,   75,    1,   70,     ,    5,    0,    0,    0,    0,    0
  240,20200905,    9,  260,   70,   70,  110,  175,     ,  111,    9,  144,    0,    0,10178,   77,    1,   66,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   10,  280,   80,   90,  120,  167,     ,  106,    8,  157,    0,    0,10181,   77,    5,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   11,  280,   80,   80,  110,  164,     ,   99,    8,  199,    0,    0,10183,   77,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   12,  290,   80,   80,  110,  167,  127,   91,    6,  165,    0,    0,10185,   79,    7,   60,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   13,  280,   80,   80,  110,  168,     ,   90,    3,  155,    0,    0,10189,   80,    8,   60,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   14,  280,   80,   70,  110,  161,     ,   96,    0,   95,    0,    0,10192,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   15,  270,   80,   80,  120,  161,     ,   93,    2,  105,    0,    0,10191,   81,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   16,  280,   70,   60,  100,  155,     ,   90,    1,   51,    0,    0,10190,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   17,  270,   40,   40,   70,  148,     ,   99,    0,    6,    0,    0,10187,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   18,  270,   40,   30,   60,  143,  134,  108,    0,    4,    0,    0,10187,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   19,  310,   40,   40,   90,  127,     ,   94,    0,    0,    7,    5,10191,   75,    8,   80,   81,    7,    0,    1,    0,    0,    0
  240,20200905,   20,  240,   10,   20,   50,  125,     ,   99,    0,    0,    0,   -1,10190,   70,    8,   83,   23,    7,    0,    1,    0,    0,    0
  240,20200905,   21,  260,   30,   20,   40,  119,     ,   96,    0,    0,    0,    0,10191,   70,    4,   85,    1,    7,    0,    0,    0,    0,    0
  240,20200905,   22,  210,   20,   30,   40,  105,     ,   91,    0,    0,    0,    0,10191,   70,    8,   90,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   23,  170,   20,   20,   40,  103,     ,   91,    0,    0,    0,    0,10189,   65,    1,   92,     ,    5,    0,    0,    0,    0,    0
  240,20200905,   24,   20,   40,   30,   90,  122,   67,  111,    0,    0,    7,   23,10192,   64,    8,   92,   81,    7,    0,    1,    0,    0,    0
  240,20200906,    1,  170,   20,   30,   40,  107,     ,   99,    0,    0,    3,    6,10191,   65,    3,   94,   23,    7,    0,    1,    0,    0,    0
  240,20200906,    2,  150,   30,   20,   40,  109,     ,  100,    0,    0,    2,    1,10189,   65,    7,   94,   51,    7,    0,    1,    0,    0,    0
  240,20200906,    3,  170,   20,   30,   40,  110,     ,  100,    0,    0,    1,    9,10186,   63,    7,   93,   81,    7,    0,    1,    0,    0,    0
  240,20200906,    4,  170,   30,   20,   40,  109,     ,  101,    0,    0,    6,   20,10184,   65,    5,   94,   23,    7,    0,    1,    0,    0,    0
  240,20200906,    5,  170,   30,   40,   40,  107,     ,   98,    0,    0,    0,    0,10183,   65,    2,   94,     ,    5,    0,    0,    0,    0,    0
  240,20200906,    6,  180,   30,   20,   40,  115,   69,  107,    7,   16,    0,    0,10184,   65,    2,   94,    3,    7,    0,    0,    0,    0,    0
  240,20200906,    7,  180,   20,   20,   40,  139,     ,  108,    8,   57,    0,    0,10186,   70,    1,   82,     ,    5,    0,    0,    0,    0,    0
  240,20200906,    8,  250,   30,   50,   70,  166,     ,  108,   10,  115,    0,    0,10188,   80,    1,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200906,    9,  260,   60,   60,   90,  172,     ,  106,    8,  154,    0,    0,10190,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   10,  270,   60,   60,   90,  171,     ,  100,    1,   87,    0,    0,10191,   81,    8,   63,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   11,  270,   60,   50,   90,  173,     ,  104,    0,   74,    0,    0,10193,   82,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   12,  280,   60,   60,  100,  178,  105,  104,    2,  149,    0,    0,10192,   82,    8,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   13,  290,   70,   70,  100,  164,     ,  101,    6,  162,    0,    0,10193,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   14,  270,   70,   70,  100,  187,     ,  108,    5,  132,    0,    0,10193,   82,    5,   60,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   15,  290,   70,   60,  100,  184,     ,  113,    8,  141,    0,    0,10195,   82,    7,   63,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   16,  290,   60,   60,   90,  168,     ,  107,   10,  113,    0,    0,10198,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   17,  290,   50,   40,   80,  162,     ,  116,    0,   39,    0,    0,10200,   75,    8,   74,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   18,  260,   40,   30,   70,  149,  140,  123,    0,    8,    3,    3,10202,   70,    8,   84,   23,    7,    0,    1,    0,    0,    0
  240,20200906,   19,  300,   20,   20,   50,  148,     ,  120,    0,    1,    1,    2,10210,   70,    8,   83,   81,    7,    0,    1,    0,    0,    0
  240,20200906,   20,  220,   30,   20,   50,  129,     ,  118,    0,    0,    4,    8,10212,   65,    1,   92,   23,    7,    0,    1,    0,    0,    0
  240,20200906,   21,  220,   20,   20,   30,  115,     ,  107,    0,    0,    0,    0,10214,   65,    0,   94,    1,    7,    0,    0,    0,    0,    0
  240,20200906,   22,  280,   20,   10,   30,  112,     ,  107,    0,    0,    0,    0,10216,   65,    0,   96,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   23,  190,   10,   10,   20,  116,     ,  108,    0,    0,    0,    0,10217,   65,    0,   94,     ,    5,    0,    0,    0,    0,    0
  240,20200906,   24,  210,   20,   20,   40,  108,   65,  102,    0,    0,    0,    0,10220,   65,    0,   96,    2,    7,    0,    0,    0,    0,    0
  240,20200907,    1,  210,   20,   20,   30,  106,     ,  104,    0,    0,    0,    0,10221,    3,    0,   99,   34,    7,    1,    0,    0,    0,    0
  240,20200907,    2,  190,   10,   10,   20,  111,     ,  111,    0,    0,    0,    0,10221,    7,    7,   99,   32,    7,    1,    0,    0,    0,    0
  240,20200907,    3,  110,   10,   10,   20,  107,     ,  104,    0,    0,    0,    0,10217,   57,    8,   97,   20,    7,    1,    0,    0,    0,    0
  240,20200907,    4,  170,   10,   20,   30,  104,     ,   99,    0,    0,    0,    0,10217,   65,    8,   97,     ,    5,    0,    0,    0,    0,    0
  240,20200907,    5,  170,   10,   20,   20,   99,     ,   95,    0,    0,    0,    0,10220,   65,    8,   97,     ,    5,    0,    0,    0,    0,    0
  240,20200907,    6,  180,   30,   30,   40,  121,   58,  115,    2,   10,    0,   -1,10223,   65,    6,   95,   23,    7,    0,    1,    0,    0,    0
  240,20200907,    7,  210,   40,   50,   60,  152,     ,  125,    7,   58,    0,    0,10225,   70,    8,   84,     ,    5,    0,    0,    0,    0,    0
  240,20200907,    8,  220,   50,   60,   70,  170,     ,  125,   10,  109,    0,    0,10227,   75,    1,   75,     ,    5,    0,    0,    0,    0,    0
  240,20200907,    9,  220,   60,   60,   90,  187,     ,  125,    9,  154,    0,    0,10228,   80,    6,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200907,   10,  230,   60,   60,   90,  192,     ,  125,    7,  155,    0,    0,10229,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200907,   11,  240,   70,   70,  110,  200,     ,  115,    8,  186,    0,    0,10229,   81,    4,   58,     ,    5,    0,    0,    0,    0,    0
  240,20200907,   12,  240,   70,   70,  110,  199,  112,  115,   10,  224,    0,    0,10228,   80,    8,   58,     ,    5,    0,    0,    0,    0,    0
  240,20200907,   13,  240,   70,   70,  110,  203,     ,  110,    9,  221,    0,    0,10231,   82,    5,   55,     ,    5,    0,    0,    0,    0,    0
  240,20200907,   14,  250,   70,   70,  110,  200,     ,  123,    8,  160,    0,    0,10231,   81,    8,   61,     ,    5,    0,    0,    0,    0,    0
